,Country,Life expectancy at birth(years)
1,Switzerland,84
2,Norway,83.2
3,Iceland,82.7
4,"Hong Kong, China (SAR)",85.5
5,Australia,84.5
6,Denmark,81.4
7,Sweden,83
8,Ireland,82
9,Germany,80.6
10,Netherlands,81.7
11,Finland,82
12,Singapore,82.8
13,Belgium,81.9
13,New Zealand,82.5
15,Canada,82.7
16,Liechtenstein,83.3
17,Luxembourg,82.6
18,United Kingdom,80.7
19,Japan,84.8
19,Korea (Republic of),83.7
21,United States,77.2
22,Israel,82.3
23,Malta,83.8
23,Slovenia,80.7
25,Austria,81.6
26,United Arab Emirates,78.7
27,Spain,83
28,France,82.5
29,Cyprus,81.2
30,Italy,82.9
31,Estonia,77.1
32,Czechia,77.7
33,Greece,80.1
34,Poland,76.5
35,Bahrain,78.8
35,Lithuania,73.7
35,Saudi Arabia,76.9
38,Portugal,81
39,Latvia,73.6
40,Andorra,80.4
40,Croatia,77.6
42,Chile,78.9
42,Qatar,79.3
44,San Marino,80.9
45,Slovakia,74.9
46,Hungary,74.5
47,Argentina,75.4
48,Türkiye,76
49,Montenegro,76.3
50,Kuwait,78.7
51,Brunei Darussalam,74.6
52,Russian Federation,69.4
53,Romania,74.2
54,Oman,72.5
55,Bahamas,71.6
56,Kazakhstan,69.4
57,Trinidad and Tobago,73
58,Costa Rica,77
58,Uruguay,75.4
60,Belarus,72.4
61,Panama,76.2
62,Malaysia,74.9
63,Georgia,71.7
63,Mauritius,73.6
63,Serbia,74.2
66,Thailand,78.7
67,Albania,76.5
68,Bulgaria,71.8
68,Grenada,74.9
70,Barbados,77.6
71,Antigua and Barbuda,78.5
72,Seychelles,71.3
73,Sri Lanka,76.4
74,Bosnia and Herzegovina,75.3
75,Saint Kitts and Nevis,71.7
76,Iran (Islamic Republic of),73.9
77,Ukraine,71.6
78,North Macedonia,73.8
79,China,78.2
80,Dominican Republic,72.6
80,Moldova (Republic of),68.8
80,Palau,66
83,Cuba,73.7
84,Peru,72.4
85,Armenia,72
86,Mexico,70.2
87,Brazil,72.8
88,Colombia,72.8
89,Saint Vincent and the Grenadines,69.6
90,Maldives,79.9
91,Algeria,76.4
91,Azerbaijan,69.4
91,Tonga,71
91,Turkmenistan,69.3
95,Ecuador,73.7
96,Mongolia,71
97,Egypt,70.2
97,Tunisia,73.8
99,Fiji,67.1
99,Suriname,70.3
101,Uzbekistan,70.9
102,Dominica,72.8
102,Jordan,74.3
104,Libya,71.9
105,Paraguay,70.3
106,"Palestine, State of",73.5
106,Saint Lucia,71.1
108,Guyana,65.7
109,South Africa,62.3
110,Jamaica,70.5
111,Samoa,72.8
112,Gabon,65.8
112,Lebanon,75
114,Indonesia,67.6
115,Viet Nam,73.6
116,Philippines,69.3
117,Botswana,61.1
118,Bolivia (Plurinational State of),63.6
118,Kyrgyzstan,70
120,Venezuela (Bolivarian Republic of),70.6
121,Iraq,70.4
122,Tajikistan,71.6
123,Belize,70.5
123,Morocco,74
125,El Salvador,70.7
126,Nicaragua,73.8
127,Bhutan,71.8
128,Cabo Verde,74.1
129,Bangladesh,72.4
130,Tuvalu,64.5
131,Marshall Islands,65.3
132,India,67.2
133,Ghana,63.8
134,Micronesia (Federated States of),70.7
135,Guatemala,69.2
136,Kiribati,67.4
137,Honduras,70.1
138,Sao Tome and Principe,67.6
139,Namibia,59.3
140,Lao People's Democratic Republic,68.1
140,Timor-Leste,67.7
140,Vanuatu,70.4
143,Nepal,68.4
144,Eswatini (Kingdom of),57.1
145,Equatorial Guinea,60.6
146,Cambodia,69.6
146,Zimbabwe,59.3
148,Angola,61.6
149,Myanmar,65.7
150,Syrian Arab Republic,72.1
151,Cameroon,60.3
152,Kenya,61.4
153,Congo,63.5
154,Zambia,61.2
155,Solomon Islands,70.3
156,Comoros,63.4
156,Papua New Guinea,65.4
158,Mauritania,64.4
159,Côte d'Ivoire,58.6
160,Tanzania (United Republic of),66.2
161,Pakistan,66.1
162,Togo,61.6
163,Haiti,63.2
163,Nigeria,52.7
165,Rwanda,66.1
166,Benin,59.8
166,Uganda,62.7
168,Lesotho,53.1
169,Malawi,62.9
170,Senegal,67.1
171,Djibouti,62.3
172,Sudan,65.3
173,Madagascar,64.5
174,Gambia,62.1
175,Ethiopia,65
176,Eritrea,66.5
177,Guinea-Bissau,59.7
178,Liberia,60.7
179,Congo (Democratic Republic of the),59.2
180,Afghanistan,62
181,Sierra Leone,60.1
182,Guinea,58.9
183,Yemen,63.8
184,Burkina Faso,59.3
185,Mozambique,59.3
186,Mali,58.9
187,Burundi,61.7
188,Central African Republic,53.9
189,Niger,61.6
190,Chad,52.5
191,South Sudan,55
